"voter_name","affiliation","award","name","value","points","avgPoints","diff","diffSquared","ballot"
"Albert, Marv","Turner","1st Team All-Defense","forward","Adebayo, Bam (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Albert, Marv","Turner","1st Team All-Defense","forward_2","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Albert, Marv","Turner","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Albert, Marv","Turner","1st Team All-Defense","guard","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Albert, Marv","Turner","1st Team All-Defense","guard_2","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Amick, Sam","The Athletic","1st Team All-Defense","forward","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Amick, Sam","The Athletic","1st Team All-Defense","forward_2","Embiid, Joel (PHI)",5,2.50505050505051,2.49494949494949,6.22477298234874,"All-Defense"
"Amick, Sam","The Athletic","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Amick, Sam","The Athletic","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Amick, Sam","The Athletic","1st Team All-Defense","guard_2","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Anthony, Greg","Turner","1st Team All-Defense","forward","Adebayo, Bam (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Anthony, Greg","Turner","1st Team All-Defense","forward_2","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Anthony, Greg","Turner","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Anthony, Greg","Turner","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Anthony, Greg","Turner","1st Team All-Defense","guard_2","Butler, Jimmy (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Arnovitz, Kevin","ESPN","1st Team All-Defense","forward","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Arnovitz, Kevin","ESPN","1st Team All-Defense","forward_2","Butler, Jimmy (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Arnovitz, Kevin","ESPN","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Arnovitz, Kevin","ESPN","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Arnovitz, Kevin","ESPN","1st Team All-Defense","guard_2","Dort, Luguentz (OKC)",5,0.454545454545455,4.54545454545455,20.6611570247934,"All-Defense"
"Aschburner, Steve","NBA.com","1st Team All-Defense","forward","Antetokounmpo, Giannis (MIL)",5,3.60606060606061,1.39393939393939,1.94306703397613,"All-Defense"
"Aschburner, Steve","NBA.com","1st Team All-Defense","forward_2","Adebayo, Bam (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Aschburner, Steve","NBA.com","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Aschburner, Steve","NBA.com","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Aschburner, Steve","NBA.com","1st Team All-Defense","guard_2","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Barnes, Evan","Memphis Commercial Appeal","1st Team All-Defense","forward","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Barnes, Evan","Memphis Commercial Appeal","1st Team All-Defense","forward_2","Butler, Jimmy (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Barnes, Evan","Memphis Commercial Appeal","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Barnes, Evan","Memphis Commercial Appeal","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Barnes, Evan","Memphis Commercial Appeal","1st Team All-Defense","guard_2","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Barry, Jon","ESPN","1st Team All-Defense","forward","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Barry, Jon","ESPN","1st Team All-Defense","forward_2","Turner, Myles (IND)",5,0.626262626262626,4.37373737373737,19.1295786144271,"All-Defense"
"Barry, Jon","ESPN","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Barry, Jon","ESPN","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Barry, Jon","ESPN","1st Team All-Defense","guard_2","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Beck, Howard","Sports Illustrated","1st Team All-Defense","forward","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Beck, Howard","Sports Illustrated","1st Team All-Defense","forward_2","Butler, Jimmy (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Beck, Howard","Sports Illustrated","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Beck, Howard","Sports Illustrated","1st Team All-Defense","guard","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Beck, Howard","Sports Illustrated","1st Team All-Defense","guard_2","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Bondy, Stefan","New York Daily News","1st Team All-Defense","forward","Antetokounmpo, Giannis (MIL)",5,3.60606060606061,1.39393939393939,1.94306703397613,"All-Defense"
"Bondy, Stefan","New York Daily News","1st Team All-Defense","forward_2","Adebayo, Bam (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Bondy, Stefan","New York Daily News","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Bondy, Stefan","New York Daily News","1st Team All-Defense","guard","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Bondy, Stefan","New York Daily News","1st Team All-Defense","guard_2","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Bontemps, Tim","ESPN","1st Team All-Defense","forward","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Bontemps, Tim","ESPN","1st Team All-Defense","forward_2","Antetokounmpo, Giannis (MIL)",5,3.60606060606061,1.39393939393939,1.94306703397613,"All-Defense"
"Bontemps, Tim","ESPN","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Bontemps, Tim","ESPN","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Bontemps, Tim","ESPN","1st Team All-Defense","guard_2","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Broussard, Chris","Fox Sports","1st Team All-Defense","forward","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
"Broussard, Chris","Fox Sports","1st Team All-Defense","forward_2","Adebayo, Bam (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Broussard, Chris","Fox Sports","1st Team All-Defense","center","Gobert, Rudy (UTA)",5,5,0,0,"All-Defense"
"Broussard, Chris","Fox Sports","1st Team All-Defense","guard","Simmons, Ben (PHI)",5,5,0,0,"All-Defense"
"Broussard, Chris","Fox Sports","1st Team All-Defense","guard_2","Holiday, Jrue (MIL)",5,4.05050505050505,0.94949494949495,0.901540659116417,"All-Defense"
"Bucher, Ric","Sirius Radio","1st Team All-Defense","forward","Adebayo, Bam (MIA)",5,2.93939393939394,2.06060606060606,4.24609733700643,"All-Defense"
"Bucher, Ric","Sirius Radio","1st Team All-Defense","forward_2","Green, Draymond (GSW)",5,4.47474747474747,0.525252525252525,0.275890215284154,"All-Defense"
