"coach_name","team_abbreviation","season","wins","losses","net_rating_rank","off_rating_rank","def_rating_rank","efg_pct_rank","fta_rate_rank","tm_tov_pct_rank","oreb_pct_rank","opp_efg_pct_rank","opp_fta_rate_rank","opp_tov_pct_rank","opp_oreb_pct_rank"
"Q. Snyder","ATL","2024-25","4","5",22,17,27,13,7,18,14,27,16,11,19
"J. Mazzulla","BOS","2024-25","7","2",4,2,7,7,17,1,17,10,7,13,9
"J. Fernández","BKN","2024-25","4","4",14,10,19,9,14,16,23,21,29,5,22
"C. Lee","CHA","2024-25","3","5",23,18,25,19,28,23,5,22,24,25,18
"B. Donovan","CHI","2024-25","3","5",26,28,15,20,21,19,28,16,6,29,2
"K. Atkinson","CLE","2024-25","9","0",3,1,9,1,26,5,25,8,18,3,8
"J. Kidd","DAL","2024-25","5","3",7,15,3,14,25,2,24,3,23,12,17
"M. Malone","DEN","2024-25","5","3",13,9,17,21,3,12,4,13,9,16,13
"J. Bickerstaff","DET","2024-25","3","6",16,24,13,17,27,28,10,12,19,28,3
"S. Kerr","GSW","2024-25","7","1",1,3,2,6,16,10,8,2,14,4,23
"I. Udoka","HOU","2024-25","5","3",5,7,4,27,23,3,2,5,27,6,16
"R. Carlisle","IND","2024-25","4","4",17,11,24,3,12,13,22,14,25,22,24
"T. Lue","LAC","2024-25","4","4",12,21,5,12,20,29,11,18,17,7,5
"J. Redick","LAL","2024-25","4","4",19,8,28,18,2,8,18,28,5,20,14
"T. Jenkins","MEM","2024-25","5","4",10,6,16,8,13,25,3,11,21,17,12
"E. Spoelstra","MIA","2024-25","3","4",15,16,14,24,9,4,16,9,8,9,20
"D. Rivers","MIL","2024-25","1","6",24,22,21,10,10,14,30,25,10,30,4
"C. Finch","MIN","2024-25","4","3",11,12,12,2,11,26,26,6,12,24,15
"W. Green","NOP","2024-25","3","6",29,19,30,22,19,20,6,29,2,14,30
"T. Thibodeau","NYK","2024-25","3","4",9,4,20,4,29,7,19,26,1,26,11
"M. Daigneault","OKC","2024-25","7","1",2,20,1,15,30,6,27,1,20,1,21
"J. Mosley","ORL","2024-25","3","6",18,29,6,28,5,21,20,20,22,15,1
"N. Nurse","PHI","2024-25","1","6",28,26,22,26,1,17,13,30,28,2,25
"M. Budenholzer","PHX","2024-25","7","1",8,14,8,5,6,15,29,4,11,27,6
"C. Billups","POR","2024-25","3","5",20,25,18,29,15,22,7,15,15,10,29
"M. Brown","SAC","2024-25","5","3",6,5,11,11,8,9,15,17,13,8,7
"G. Popovich","SAS","2024-25","3","5",21,27,10,23,24,27,12,7,3,18,10
"D. Rajakovic","TOR","2024-25","2","7",25,13,29,16,18,24,1,24,30,19,26
"W. Hardy","UTA","2024-25","1","6",30,30,23,30,4,30,9,19,4,23,27
"B. Keefe","WAS","2024-25","2","4",27,23,26,25,22,11,21,23,26,21,28
"Q. Snyder","ATL","2023-24","36","46",21,12,27,17,12,13,5,30,16,11,16
"J. Mazzulla","BOS","2023-24","64","18",1,1,2,2,25,1,14,2,1,29,7
"B. Donovan","CHI","2023-24","39","43",20,19,22,22,19,3,11,23,19,8,17
"J. Bickerstaff","CLE","2023-24","48","34",12,16,7,13,21,19,22,6,15,13,14
"J. Kidd","DAL","2023-24","50","32",15,8,18,7,13,4,25,17,13,17,21
"M. Malone","DEN","2023-24","57","25",4,5,8,8,24,9,6,3,21,26,15
"S. Kerr","GSW","2023-24","46","36",13,9,15,12,29,22,4,10,17,23,10
"I. Udoka","HOU","2023-24","41","41",18,20,10,27,9,7,8,5,29,15,12
"R. Carlisle","IND","2023-24","47","35",10,2,24,1,26,6,16,22,30,18,26
"T. Lue","LAC","2023-24","51","31",7,4,16,9,10,15,17,11,10,20,24
"T. Jenkins","MEM","2023-24","27","55",26,30,12,29,18,28,13,19,18,3,23
"E. Spoelstra","MIA","2023-24","46","36",17,21,5,20,8,10,24,13,5,9,3
"D. Rivers","MIL","2023-24","17","19",17,18,15,13,13,12,27,10,11,28,4
"C. Finch","MIN","2023-24","56","26",3,17,1,10,5,23,21,1,20,5,9
"W. Green","NOP","2023-24","49","33",6,11,6,11,7,12,19,12,12,7,8
"T. Thibodeau","NYK","2023-24","50","32",5,7,9,16,14,18,1,15,7,16,6
"M. Daigneault","OKC","2023-24","57","25",2,3,4,3,17,5,28,4,22,1,27
"J. Mosley","ORL","2023-24","47","35",14,22,3,15,1,26,7,14,24,2,2
"N. Nurse","PHI","2023-24","47","35",9,14,11,24,6,2,10,8,26,4,25
"C. Billups","POR","2023-24","21","61",28,29,23,30,23,29,3,24,27,6,28
"M. Brown","SAC","2023-24","46","36",16,13,14,14,22,11,15,21,25,12,1
"G. Popovich","SAS","2023-24","22","60",25,26,21,23,28,24,23,20,4,22,13
"D. Rajakovic","TOR","2023-24","25","57",24,24,26,21,16,20,18,27,3,14,29
"W. Hardy","UTA","2023-24","31","51",23,18,30,18,11,30,2,28,9,28,18
"B. Keefe","WAS","2023-24","8","31",25,25,25,23,27,19,26,24,24,22,27
"Q. Snyder","ATL","2022-23","10","11",16,4,24,17,12,9,2,27,6,15,12
"J. Mazzulla","BOS","2022-23","57","25",1,2,2,4,27,7,27,3,3,26,1
"B. Donovan","CHI","2022-23","40","42",13,24,5,12,24,8,28,17,5,6,3
"J. Bickerstaff","CLE","2022-23","51","31",2,8,1,9,16,12,20,6,16,4,20
"J. Kidd","DAL","2022-23","38","44",20,6,25,5,3,2,30,20,27,22,17
"M. Malone","DEN","2022-23","53","29",6,5,15,1,20,23,12,15,10,18,11
"S. Kerr","GSW","2022-23","44","38",11,10,14,3,30,29,16,10,23,17,16
"R. Carlisle","IND","2022-23","35","47",25,21,26,16,15,22,13,23,25,9,30
"T. Lue","LAC","2022-23","44","38",17,17,17,11,11,18,21,14,6,24,7
"T. Jenkins","MEM","2022-23","51","31",4,11,3,21,19,9,6,2,12,8,22
"E. Spoelstra","MIA","2022-23","44","38",21,25,9,25,13,13,18,25,7,3,4
"M. Budenholzer","MIL","2022-23","58","24",5,15,4,10,25,19,14,1,2,30,2
"C. Finch","MIN","2022-23","42","40",18,23,10,8,12,25,26,11,28,5,26
"W. Green","NOP","2022-23","42","40",10,20,6,17,10,20,9,16,18,7,5
"T. Thibodeau","NYK","2022-23","47","35",7,4,19,20,8,5,2,8,17,25,12
"M. Daigneault","OKC","2022-23","40","42",15,16,13,24,23,4,10,19,26,2,28
"J. Mosley","ORL","2022-23","34","48",24,26,18,23,5,27,15,21,14,10,8
"D. Rivers","PHI","2022-23","54","28",3,3,8,6,1,15,25,12,22,12,14
"C. Billups","POR","2022-23","33","49",26,18,28,14,6,21,24,26,20,19,25
"M. Brown","SAC","2022-23","48","34",8,1,24,2,9,6,23,27,9,14,6
"G. Popovich","SAS","2022-23","22","60",30,29,30,26,29,24,7,30,11,20,24
"N. Nurse","TOR","2022-23","41","41",12,13,11,28,22,1,3,29,24,1,15
"W. Hardy","UTA","2022-23","37","45",22,9,23,15,14,28,4,13,13,28,23
"I. Udoka","BOS","2021-22","51","31",2,9,1,9,22,13,11,1,9,11,16
"B. Donovan","CHI","2021-22","46","36",20,13,23,10,17,6,28,22,16,23,7
"J. Bickerstaff","CLE","2021-22","44","38",13,20,5,14,7,27,12,5,5,13,18
"J. Kidd","DAL","2021-22","52","30",7,14,7,13,14,7,23,6,10,17,10
"M. Malone","DEN","2021-22","48","34",11,6,15,1,20,26,19,20,12,26,1
"S. Kerr","GSW","2021-22","53","29",4,16,2,3,23,29,15,2,26,7,6
"R. Carlisle","IND","2021-22","25","57",24,18,28,20,21,24,3,28,21,20,17
"T. Lue","LAC","2021-22","42","40",18,25,8,19,26,14,26,4,2,15,27
"T. Jenkins","MEM","2021-22","56","26",5,4,6,23,19,8,1,10,18,4,15
"E. Spoelstra","MIA","2021-22","53","29",6,12,4,5,12,28,10,12,27,3,9
"M. Budenholzer","MIL","2021-22","51","31",8,3,14,6,9,10,16,19,4,27,2
"C. Finch","MIN","2021-22","46","36",10,7,13,12,10,17,7,17,29,2,28
"W. Green","NOP","2021-22","36","46",21,19,18,24,6,21,4,26,14,9,3
"T. Thibodeau","NYK","2021-22","37","45",19,23,11,26,3,12,6,8,24,25,4
"M. Daigneault","OKC","2021-22","24","58",27,30,17,29,27,15,24,16,3,22,14
"J. Mosley","ORL","2021-22","22","60",28,29,19,28,28,23,27,15,19,24,8
"D. Rivers","PHI","2021-22","51","31",9,11,12,16,2,5,30,11,13,18,19
"C. Billups","POR","2021-22","27","55",30,27,29,25,16,25,18,30,28,10,20
"G. Popovich","SAS","2021-22","34","48",17,17,16,21,30,2,8,14,8,16,24
"N. Nurse","TOR","2021-22","48","34",12,15,9,27,25,3,2,18,17,1,23
"Q. Snyder","UTA","2021-22","49","33",3,1,10,2,4,22,5,7,1,29,5
"B. Donovan","CHI","2020-21","31","41",20,21,12,10,30,27,16,14,17,26,1
"J. Bickerstaff","CLE","2020-21","22","50",28,28,25,29,7,29,7,29,8,9,21
