"player","name","value","Average"
"Cade Cunningham","Average",1,1.35714285714286
"Cade Cunningham","Bleacher Report",1,1.35714285714286
"Cade Cunningham","CBS",1,1.35714285714286
"Cade Cunningham","Chad Ford",1,1.35714285714286
"Cade Cunningham","Dean On Draft",4,1.35714285714286
"Cade Cunningham","ESPN",1,1.35714285714286
"Cade Cunningham","John Hollinger",1,1.35714285714286
"Cade Cunningham","nbadraft.net",1,1.35714285714286
"Cade Cunningham","Kevin O'Connor",1,1.35714285714286
"Cade Cunningham","SB Nation",1,1.35714285714286
"Cade Cunningham","Sports Illustrated",1,1.35714285714286
"Cade Cunningham","Sporting News",1,1.35714285714286
"Cade Cunningham","Tankathon",3,1.35714285714286
"Cade Cunningham","USA Today",1,1.35714285714286
"Cade Cunningham","Sam Vecenie",1,1.35714285714286
"Evan Mobley","Average",2,2.35714285714286
"Evan Mobley","Bleacher Report",3,2.35714285714286
"Evan Mobley","CBS",3,2.35714285714286
"Evan Mobley","Chad Ford",2,2.35714285714286
"Evan Mobley","Dean On Draft",1,2.35714285714286
"Evan Mobley","ESPN",3,2.35714285714286
"Evan Mobley","John Hollinger",2,2.35714285714286
"Evan Mobley","nbadraft.net",4,2.35714285714286
"Evan Mobley","Kevin O'Connor",2,2.35714285714286
"Evan Mobley","SB Nation",2,2.35714285714286
"Evan Mobley","Sports Illustrated",2,2.35714285714286
"Evan Mobley","Sporting News",2,2.35714285714286
"Evan Mobley","Tankathon",2,2.35714285714286
"Evan Mobley","USA Today",2,2.35714285714286
"Evan Mobley","Sam Vecenie",3,2.35714285714286
"Jalen Green","Average",3,3.35714285714286
"Jalen Green","Bleacher Report",2,3.35714285714286
"Jalen Green","CBS",2,3.35714285714286
"Jalen Green","Chad Ford",3,3.35714285714286
"Jalen Green","Dean On Draft",8,3.35714285714286
"Jalen Green","ESPN",2,3.35714285714286
"Jalen Green","John Hollinger",5,3.35714285714286
"Jalen Green","nbadraft.net",2,3.35714285714286
"Jalen Green","Kevin O'Connor",3,3.35714285714286
"Jalen Green","SB Nation",3,3.35714285714286
"Jalen Green","Sports Illustrated",3,3.35714285714286
"Jalen Green","Sporting News",3,3.35714285714286
"Jalen Green","Tankathon",4,3.35714285714286
"Jalen Green","USA Today",3,3.35714285714286
"Jalen Green","Sam Vecenie",4,3.35714285714286
"Jalen Suggs","Average",4,3.64285714285714
"Jalen Suggs","Bleacher Report",4,3.64285714285714
"Jalen Suggs","CBS",4,3.64285714285714
"Jalen Suggs","Chad Ford",4,3.64285714285714
"Jalen Suggs","Dean On Draft",3,3.64285714285714
"Jalen Suggs","ESPN",4,3.64285714285714
"Jalen Suggs","John Hollinger",6,3.64285714285714
"Jalen Suggs","nbadraft.net",3,3.64285714285714
"Jalen Suggs","Kevin O'Connor",4,3.64285714285714
"Jalen Suggs","SB Nation",4,3.64285714285714
"Jalen Suggs","Sports Illustrated",4,3.64285714285714
"Jalen Suggs","Sporting News",4,3.64285714285714
"Jalen Suggs","Tankathon",1,3.64285714285714
"Jalen Suggs","USA Today",4,3.64285714285714
"Jalen Suggs","Sam Vecenie",2,3.64285714285714
"Scottie Barnes","Average",6,5.5
"Scottie Barnes","Bleacher Report",5,5.5
"Scottie Barnes","CBS",5,5.5
"Scottie Barnes","Chad Ford",5,5.5
"Scottie Barnes","Dean On Draft",2,5.5
"Scottie Barnes","ESPN",6,5.5
"Scottie Barnes","John Hollinger",3,5.5
"Scottie Barnes","nbadraft.net",6,5.5
"Scottie Barnes","Kevin O'Connor",5,5.5
"Scottie Barnes","SB Nation",7,5.5
"Scottie Barnes","Sports Illustrated",5,5.5
"Scottie Barnes","Sporting News",11,5.5
"Scottie Barnes","Tankathon",6,5.5
"Scottie Barnes","USA Today",5,5.5
"Scottie Barnes","Sam Vecenie",6,5.5
"Jonathan Kuminga","Average",8,7.64285714285714
"Jonathan Kuminga","Bleacher Report",8,7.64285714285714
"Jonathan Kuminga","CBS",7,7.64285714285714
"Jonathan Kuminga","Chad Ford",6,7.64285714285714
"Jonathan Kuminga","Dean On Draft",17,7.64285714285714
"Jonathan Kuminga","ESPN",5,7.64285714285714
"Jonathan Kuminga","John Hollinger",8,7.64285714285714
"Jonathan Kuminga","nbadraft.net",5,7.64285714285714
"Jonathan Kuminga","Kevin O'Connor",7,7.64285714285714
"Jonathan Kuminga","SB Nation",12,7.64285714285714
"Jonathan Kuminga","Sports Illustrated",6,7.64285714285714
"Jonathan Kuminga","Sporting News",6,7.64285714285714
"Jonathan Kuminga","Tankathon",9,7.64285714285714
"Jonathan Kuminga","USA Today",6,7.64285714285714
"Jonathan Kuminga","Sam Vecenie",5,7.64285714285714
"Josh Giddey","Average",10,9.92857142857143
"Josh Giddey","Bleacher Report",11,9.92857142857143
"Josh Giddey","CBS",9,9.92857142857143
"Josh Giddey","Chad Ford",11,9.92857142857143
"Josh Giddey","Dean On Draft",6,9.92857142857143
"Josh Giddey","ESPN",11,9.92857142857143
"Josh Giddey","John Hollinger",10,9.92857142857143
"Josh Giddey","nbadraft.net",10,9.92857142857143
"Josh Giddey","Kevin O'Connor",11,9.92857142857143
"Josh Giddey","SB Nation",10,9.92857142857143
"Josh Giddey","Sports Illustrated",8,9.92857142857143
"Josh Giddey","Sporting News",15,9.92857142857143
"Josh Giddey","Tankathon",8,9.92857142857143
"Josh Giddey","USA Today",7,9.92857142857143
"Josh Giddey","Sam Vecenie",12,9.92857142857143
"Franz Wagner","Average",10,10.0714285714286
"Franz Wagner","Bleacher Report",6,10.0714285714286
"Franz Wagner","CBS",11,10.0714285714286
"Franz Wagner","Chad Ford",9,10.0714285714286
"Franz Wagner","Dean On Draft",5,10.0714285714286
"Franz Wagner","ESPN",10,10.0714285714286
"Franz Wagner","John Hollinger",7,10.0714285714286
"Franz Wagner","nbadraft.net",13,10.0714285714286
"Franz Wagner","Kevin O'Connor",12,10.0714285714286
"Franz Wagner","SB Nation",5,10.0714285714286
"Franz Wagner","Sports Illustrated",10,10.0714285714286
"Franz Wagner","Sporting News",17,10.0714285714286
"Franz Wagner","Tankathon",11,10.0714285714286
"Franz Wagner","USA Today",11,10.0714285714286
"Franz Wagner","Sam Vecenie",14,10.0714285714286
"James Bouknight","Average",10,10.2307692307692
"James Bouknight","Bleacher Report",17,10.2307692307692
"James Bouknight","CBS",6,10.2307692307692
"James Bouknight","Chad Ford",7,10.2307692307692
"James Bouknight","Dean On Draft",NA,10.2307692307692
"James Bouknight","ESPN",8,10.2307692307692
"James Bouknight","John Hollinger",13,10.2307692307692
"James Bouknight","nbadraft.net",7,10.2307692307692
"James Bouknight","Kevin O'Connor",6,10.2307692307692
"James Bouknight","SB Nation",16,10.2307692307692
"James Bouknight","Sports Illustrated",7,10.2307692307692
"James Bouknight","Sporting News",9,10.2307692307692
"James Bouknight","Tankathon",16,10.2307692307692
"James Bouknight","USA Today",12,10.2307692307692
"James Bouknight","Sam Vecenie",9,10.2307692307692
"Alperen Sengun","Average",12,11.7142857142857
"Alperen Sengun","Bleacher Report",14,11.7142857142857
"Alperen Sengun","CBS",16,11.7142857142857
"Alperen Sengun","Chad Ford",10,11.7142857142857
"Alperen Sengun","Dean On Draft",7,11.7142857142857
