"team","pick","odds","abbr"
"UTA",1,14,"UTA"
"UTA",2,13.42,"UTA"
"UTA",3,12.74,"UTA"
"UTA",4,11.96,"UTA"
"UTA",5,47.88,"UTA"
"UTA",6,0,"UTA"
"UTA",7,0,"UTA"
"UTA",8,0,"UTA"
"UTA",9,0,"UTA"
"UTA",10,0,"UTA"
"UTA",11,0,"UTA"
"UTA",12,0,"UTA"
"UTA",13,0,"UTA"
"UTA",14,0,"UTA"
"WAS",1,14,"WAS"
"WAS",2,13.42,"WAS"
"WAS",3,12.74,"WAS"
"WAS",4,11.96,"WAS"
"WAS",5,27.84,"WAS"
"WAS",6,20.04,"WAS"
"WAS",7,0,"WAS"
"WAS",8,0,"WAS"
"WAS",9,0,"WAS"
"WAS",10,0,"WAS"
"WAS",11,0,"WAS"
"WAS",12,0,"WAS"
"WAS",13,0,"WAS"
"WAS",14,0,"WAS"
"CHA",1,14,"CHA"
"CHA",2,13.42,"CHA"
"CHA",3,12.74,"CHA"
"CHA",4,11.96,"CHA"
"CHA",5,14.83,"CHA"
"CHA",6,26.01,"CHA"
"CHA",7,7.04,"CHA"
"CHA",8,0,"CHA"
"CHA",9,0,"CHA"
"CHA",10,0,"CHA"
"CHA",11,0,"CHA"
"CHA",12,0,"CHA"
"CHA",13,0,"CHA"
"CHA",14,0,"CHA"
"NOP",1,12.5,"NOP"
"NOP",2,12.23,"NOP"
"NOP",3,11.89,"NOP"
"NOP",4,11.46,"NOP"
"NOP",5,7.24,"NOP"
"NOP",6,25.73,"NOP"
"NOP",7,16.76,"NOP"
"NOP",8,2.2,"NOP"
"NOP",9,0,"NOP"
"NOP",10,0,"NOP"
"NOP",11,0,"NOP"
"NOP",12,0,"NOP"
"NOP",13,0,"NOP"
"NOP",14,0,"NOP"
"PHI",1,10.5,"PHI"
"PHI",2,10.54,"PHI"
"PHI",3,10.55,"PHI"
"PHI",4,10.52,"PHI"
"PHI",5,2.22,"PHI"
"PHI",6,19.6,"PHI"
"PHI",7,26.74,"PHI"
"PHI",8,8.71,"PHI"
"PHI",9,0.63,"PHI"
"PHI",10,0,"PHI"
"PHI",11,0,"PHI"
"PHI",12,0,"PHI"
"PHI",13,0,"PHI"
"PHI",14,0,"PHI"
"BKN",1,9,"BKN"
"BKN",2,9.2,"BKN"
"BKN",3,9.41,"BKN"
"BKN",4,9.61,"BKN"
"BKN",5,0,"BKN"
"BKN",6,8.62,"BKN"
"BKN",7,29.74,"BKN"
"BKN",8,20.56,"BKN"
"BKN",9,3.71,"BKN"
"BKN",10,0.15,"BKN"
