name,team,best_oddsBook,best_odds,betrivers_odds,betrivers_winPct,draftkings_odds,draftkings_winPct,fanduel_odds,fanduel_winPct,mgm_odds,mgm_winPct,date
Alex Caruso,OKC,mgm,50000,,,,,,,50000,0.1,2024-09-21
Alex Caruso,OKC,mgm,50000,,,,,,,50000,0.1,2024-09-22
Alex Caruso,OKC,mgm,50000,,,,,,,50000,0.1,2024-09-23
Alex Caruso,OKC,mgm,50000,,,,,,,50000,0.2,2024-10-06
Alex Caruso,OKC,mgm,50000,,,,,,,50000,0.2,2024-10-07
Alex Caruso,OKC,mgm,50000,,,,,,,50000,0.1,2024-10-08
Alperen Sengun,HOU,draftkings,40000,,,40000,0.2,,,20000,0.4,2024-09-21
Alperen Sengun,HOU,draftkings,40000,,,40000,0.2,,,20000,0.4,2024-09-22
Alperen Sengun,HOU,draftkings,40000,,,40000,0.2,,,20000,0.4,2024-09-23
Alperen Sengun,HOU,draftkings,40000,,,40000,0.2,,,20000,0.4,2024-10-06
Alperen Sengun,HOU,draftkings,40000,,,40000,0.2,,,20000,0.4,2024-10-07
Alperen Sengun,HOU,draftkings,40000,,,40000,0.2,,,20000,0.4,2024-10-08
Anfernee Simons,POR,mgm,50000,,,,,,,50000,0.1,2024-09-21
Anfernee Simons,POR,mgm,50000,,,,,,,50000,0.1,2024-09-22
Anfernee Simons,POR,mgm,50000,,,,,,,50000,0.1,2024-09-23
Anfernee Simons,POR,mgm,50000,,,,,,,50000,0.2,2024-10-06
Anfernee Simons,POR,mgm,50000,,,,,,,50000,0.2,2024-10-07
Anfernee Simons,POR,mgm,50000,,,,,,,50000,0.1,2024-10-08
Anthony Davis,LAL,fanduel,15000,10000,0.7,10000,0.8,15000,0.5,15000,0.5,2024-09-21
Anthony Davis,LAL,fanduel,15000,10000,0.7,10000,0.8,15000,0.5,15000,0.5,2024-09-22
Anthony Davis,LAL,fanduel,15000,10000,0.7,10000,0.8,15000,0.5,15000,0.5,2024-09-23
Anthony Davis,LAL,mgm,15000,10000,0.7,10000,0.8,12000,0.7,15000,0.5,2024-10-06
Anthony Davis,LAL,mgm,15000,10000,0.7,12000,0.7,12000,0.7,15000,0.5,2024-10-07
Anthony Davis,LAL,mgm,15000,10000,0.7,12000,0.7,12000,0.7,15000,0.5,2024-10-08
Anthony Edwards,MIN,fanduel,1400,1200,5.6,1200,6.0,1400,5.4,1400,4.8,2024-09-21
Anthony Edwards,MIN,fanduel,1400,1200,5.6,1200,6.0,1400,5.4,1400,4.8,2024-09-22
Anthony Edwards,MIN,fanduel,1400,1200,5.6,1200,6.0,1400,5.4,1400,4.8,2024-09-23
Anthony Edwards,MIN,mgm,1300,1200,5.6,1200,6.0,1100,6.7,1300,5.4,2024-10-06
Anthony Edwards,MIN,mgm,1300,1200,5.6,1200,6.2,1100,6.7,1300,5.4,2024-10-07
Anthony Edwards,MIN,mgm,1300,1200,5.6,1200,6.2,1100,6.7,1300,5.3,2024-10-08
Austin Reaves,LAL,mgm,50000,,,,,,,50000,0.1,2024-09-21
Austin Reaves,LAL,mgm,50000,,,,,,,50000,0.1,2024-09-22
Austin Reaves,LAL,mgm,50000,,,,,,,50000,0.1,2024-09-23
Austin Reaves,LAL,mgm,50000,,,,,,,50000,0.2,2024-10-06
Austin Reaves,LAL,mgm,50000,,,,,,,50000,0.2,2024-10-07
Austin Reaves,LAL,mgm,50000,,,,,,,50000,0.1,2024-10-08
Bam Adebayo,MIA,mgm,25000,,,,,,,25000,0.3,2024-09-21
Bam Adebayo,MIA,mgm,25000,,,,,,,25000,0.3,2024-09-22
Bam Adebayo,MIA,mgm,25000,,,,,,,25000,0.3,2024-09-23
Bam Adebayo,MIA,mgm,25000,,,,,,,25000,0.3,2024-10-06
Bam Adebayo,MIA,mgm,25000,,,,,,,25000,0.3,2024-10-07
Bam Adebayo,MIA,mgm,25000,,,,,,,25000,0.3,2024-10-08
Bradley Beal,PHX,mgm,50000,,,,,,,50000,0.1,2024-09-21
Bradley Beal,PHX,mgm,50000,,,,,,,50000,0.1,2024-09-22
Bradley Beal,PHX,mgm,50000,,,,,,,50000,0.1,2024-09-23
Bradley Beal,PHX,mgm,50000,,,,,,,50000,0.2,2024-10-06
Bradley Beal,PHX,mgm,50000,,,,,,,50000,0.2,2024-10-07
Bradley Beal,PHX,mgm,50000,,,,,,,50000,0.1,2024-10-08
Brandon Ingram,NOP,draftkings,70000,,,70000,0.1,,,30000,0.2,2024-09-21
Brandon Ingram,NOP,draftkings,70000,,,70000,0.1,,,30000,0.2,2024-09-22
Brandon Ingram,NOP,draftkings,70000,,,70000,0.1,,,30000,0.2,2024-09-23
Brandon Ingram,NOP,draftkings,70000,,,70000,0.1,,,30000,0.2,2024-10-06
Brandon Ingram,NOP,draftkings,70000,,,70000,0.1,,,30000,0.2,2024-10-07
Brandon Ingram,NOP,draftkings,70000,,,70000,0.1,,,30000,0.2,2024-10-08
Brandon Miller,CHA,mgm,25000,,,,,,,25000,0.3,2024-09-21
Brandon Miller,CHA,mgm,25000,,,,,,,25000,0.3,2024-09-22
Brandon Miller,CHA,mgm,25000,,,,,,,25000,0.3,2024-09-23
Brandon Miller,CHA,mgm,25000,,,,,,,25000,0.3,2024-10-06
Brandon Miller,CHA,mgm,25000,,,,,,,25000,0.3,2024-10-07
Brandon Miller,CHA,mgm,25000,,,,,,,25000,0.3,2024-10-08
Cade Cunningham,DET,draftkings,50000,,,50000,0.2,50000,0.2,25000,0.3,2024-09-21
Cade Cunningham,DET,draftkings,50000,,,50000,0.2,50000,0.2,25000,0.3,2024-09-22
Cade Cunningham,DET,draftkings,50000,,,50000,0.2,50000,0.2,25000,0.3,2024-09-23
Cade Cunningham,DET,draftkings,50000,,,50000,0.2,50000,0.2,50000,0.2,2024-10-06
Cade Cunningham,DET,draftkings,50000,,,50000,0.2,50000,0.2,50000,0.2,2024-10-07
Cade Cunningham,DET,draftkings,50000,,,50000,0.2,50000,0.2,50000,0.1,2024-10-08
Cam Thomas,BKN,mgm,50000,,,,,,,50000,0.1,2024-09-21
Cam Thomas,BKN,mgm,50000,,,,,,,50000,0.1,2024-09-22
Cam Thomas,BKN,mgm,50000,,,,,,,50000,0.1,2024-09-23
Cam Thomas,BKN,mgm,50000,,,,,,,50000,0.2,2024-10-06
Cam Thomas,BKN,mgm,50000,,,,,,,50000,0.2,2024-10-07
Cam Thomas,BKN,mgm,50000,,,,,,,50000,0.1,2024-10-08
Chet Holmgren,OKC,mgm,25000,,,,,,,25000,0.3,2024-09-21
Chet Holmgren,OKC,mgm,25000,,,,,,,25000,0.3,2024-09-22
Chet Holmgren,OKC,mgm,25000,,,,,,,25000,0.3,2024-09-23
Chet Holmgren,OKC,mgm,25000,,,,,,,25000,0.3,2024-10-06
Chet Holmgren,OKC,mgm,25000,,,,,,,25000,0.3,2024-10-07
Chet Holmgren,OKC,mgm,25000,,,,,,,25000,0.3,2024-10-08
CJ McCollum,NOP,mgm,50000,,,,,,,50000,0.1,2024-09-21
CJ McCollum,NOP,mgm,50000,,,,,,,50000,0.1,2024-09-22
CJ McCollum,NOP,mgm,50000,,,,,,,50000,0.1,2024-09-23
CJ McCollum,NOP,mgm,50000,,,,,,,50000,0.2,2024-10-06
CJ McCollum,NOP,mgm,50000,,,,,,,50000,0.2,2024-10-07
CJ McCollum,NOP,mgm,50000,,,,,,,50000,0.1,2024-10-08
Coby White,CHI,mgm,25000,,,,,,,25000,0.3,2024-09-21
Coby White,CHI,mgm,25000,,,,,,,25000,0.3,2024-09-22
Coby White,CHI,mgm,25000,,,,,,,25000,0.3,2024-09-23
Coby White,CHI,mgm,25000,,,,,,,25000,0.3,2024-10-06
Coby White,CHI,mgm,25000,,,,,,,25000,0.3,2024-10-07
Coby White,CHI,mgm,25000,,,,,,,25000,0.3,2024-10-08
Damian Lillard,MIL,draftkings,25000,15000,0.5,25000,0.3,20000,0.4,25000,0.3,2024-09-21
Damian Lillard,MIL,draftkings,25000,15000,0.5,25000,0.3,20000,0.4,25000,0.3,2024-09-22
