"team_id","team_name","gp","w","l","w_pct","min","e_off_rating","off_rating","e_def_rating","def_rating","e_net_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","e_pace","pace","pace_per40","poss","pie","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","off_rating_rank","def_rating_rank","net_rating_rank","ast_pct_rank","ast_to_rank","ast_ratio_rank","oreb_pct_rank","dreb_pct_rank","reb_pct_rank","tm_tov_pct_rank","efg_pct_rank","ts_pct_rank","pace_rank","pie_rank","date"
1610612737,"Atlanta Hawks",1,1,0,1,48,115.1,114.3,106.4,110.5,8.7,3.8,0.641,1.56,17.4,0.304,0.679,0.51,0.152,0.544,0.599,106.6,105,87.5,105,0.589,1,1,1,1,3,8,10,7,10,12,10,10,13,9,11,8,7,5,4,2024-10-23
1610612751,"Brooklyn Nets",1,0,1,0,48,106.4,110.5,115.1,114.3,-8.7,-3.8,0.525,1.11,14.7,0.321,0.696,0.49,0.181,0.533,0.569,106.6,105,87.5,105,0.411,1,11,11,11,3,11,13,14,17,20,16,8,11,12,16,11,12,5,17,2024-10-23
1610612766,"Charlotte Hornets",1,1,0,1,48,112.8,114.6,101.2,109.4,11.6,5.2,0.526,1.18,14.7,0.4,0.627,0.53,0.177,0.535,0.576,100.7,96,80,96,0.573,1,1,1,1,3,7,8,6,16,17,15,1,15,6,15,10,10,19,7,2024-10-23
1610612741,"Chicago Bulls",1,0,1,0,48,101.8,102.8,110.6,113.9,-8.7,-11.1,0.619,1.24,17.9,0.22,0.769,0.5,0.194,0.547,0.572,110.1,108,90,108,0.428,1,11,11,11,3,16,12,16,12,14,9,17,5,10,18,7,11,3,13,2024-10-23
1610612739,"Cleveland Cavaliers",1,1,0,1,48,131.5,134.7,102.2,102.9,29.3,31.7,0.569,2.23,20.6,0.282,0.615,0.473,0.129,0.667,0.691,103.6,102,85,101,0.648,1,1,1,1,3,1,6,2,15,3,3,13,16,14,6,1,1,11,2,2024-10-23
1610612765,"Detroit Pistons",1,0,1,0,48,106.5,110.1,112.7,113.9,-6.2,-3.8,0.579,1.57,15.9,0.321,0.744,0.51,0.141,0.483,0.543,102.2,100,83.33,99,0.414,1,11,11,11,3,12,11,13,14,11,14,9,6,8,8,16,14,15,16,2024-10-23
1610612744,"Golden State Warriors",1,1,0,1,48,128.2,128.4,94.4,96.3,33.8,32.1,0.792,2.11,22.9,0.388,0.729,0.574,0.165,0.624,0.659,109.7,108.5,90.42,109,0.676,1,1,1,1,3,2,1,1,1,7,1,3,7,2,13,3,3,1,1,2024-10-23
1610612745,"Houston Rockets",1,0,1,0,48,101.2,109.4,112.8,114.6,-11.6,-5.2,0.5,2.38,13.6,0.373,0.6,0.47,0.083,0.432,0.47,100.7,96,80,96,0.427,1,11,11,11,3,13,14,15,19,2,19,6,20,15,1,20,20,19,14,2024-10-23
1610612754,"Indiana Pacers",1,1,0,1,48,112.7,113.9,106.5,110.1,6.2,3.8,0.762,2.13,22.2,0.256,0.679,0.49,0.149,0.56,0.612,102.2,100,83.33,101,0.586,1,1,1,1,3,10,9,8,2,6,2,15,12,13,10,6,5,15,5,2024-10-23
1610612746,"LA Clippers",1,0,1,0,53,98.9,100,104.5,102.7,-5.6,-2.7,0.643,1.23,17.3,0.293,0.864,0.539,0.195,0.5,0.537,102,102.34,85.28,113,0.448,1,11,11,11,1,18,4,12,9,16,12,12,1,4,19,14,15,9,12,2024-10-23
