"","Player","Team","NBA2K","CBS","ESPN","Ringer","HoopsHype","ActionNetwork"
"1","Nikola Jokić","DEN",1,1,1,1,1,1
"2","Luka Dončić","DAL",2,3,2,2,2,2
"3","Giannis Antetokounmpo","MIl",3,2,3,3,4,3
"4","Shai Gilgeous-Alexander","OKC",4,4,4,4,3,4
"5","Joel Embiid","PHI",5,5,8,5,5,5
"6","LeBron James","LAL",6,8,7,10,13,7
"7","Stephen Curry","GSW",7,6,6,7,14,9
"8","Jayson Tatum","BOS",8,7,5,6,6,10
"9","Kevin Durant","PHX",9,9,9,8,11,12
"10","Anthony Davis","LAL",10,11,13,9,9,13
"11","Anthony Edwards","MIN",11,10,10,11,7,15
"12","Devin Booker","PHX",12,14,15,13,16,18
"13","Jalen Brunson","NYK",13,13,12,12,8,11
"14","Donovan Mitchell","CLE",14,19,17,16,17,14
"15","Jaylen Brown","BOS",15,15,14,14,18,32
"16","Kyrie Irving","DAL",16,25,25,26,33,34
"17","Kawhi Leonard","LAC",17,18,22,18,26,16
"18","Victor Wembanyama","SAS",18,12,11,15,10,8
"19","Tyrese Haliburton","IND",19,17,16,17,12,6
"20","Ja Morant","MEM",20,16,20,24,19,17
"21","Damian Lillard","MIL",21,26,23,27,21,20
"22","Jimmy Butler","MIA",22,22,28,19,30,19
"23","Paolo Banchero","ORL",23,29,24,30,23,48
"24","Paul George","PHI",24,20,21,23,27,21
"25","Trae Young","ATL",25,35,37,34,29,22
"26","Tyrese Maxey","PHI",26,24,19,28,15,29
"27","Bam Adebayo","MIA",27,23,18,20,28,33
"28","De'Aaron Fox","SAC",28,27,26,22,24,26
"29","Domantas Sabonis","SAC",29,28,29,25,20,27
"30","Zion Williamson","NOP",30,21,27,21,22,36
"31","Pascal Siakam","IND",31,33,42,33,25,30
"32","Karl-Anthony Towns","NYK",32,38,30,32,31,38
"33","LaMelo Ball","CHA",33,58,50,53,41,44
"34","Jrue Holiday","BOS",34,32,36,38,54,56
"35","DeMar DeRozan","SAC",35,53,45,49,45,55
"36","Chet Holmgren","OKC",36,30,32,41,40,24
"37","Kristaps Porziņģis","BOS",37,40,46,42,44,28
"38","Jamal Murray","DEN",38,34,31,29,36,31
"39","Jaren Jackson Jr.","MEM",39,43,55,45,42,43
"40","Lauri Markkanen","UTA",40,31,33,31,34,23
"41","Cade Cunningham","DET",41,49,67,54,37,41
"42","Jalen Williams","OKC",42,37,44,35,43,39
"43","Franz Wagner","ORL",43,51,52,56,48,51
"44","Derrick White","BOS",44,36,39,37,50,37
"45","Dejounte Murray","NOP",45,52,43,57,55,65
"46","Evan Mobley","CLE",46,48,47,46,51,46
"47","Scottie Barnes","TOR",47,42,35,40,35,35
"48","Julius Randle","MIN",48,54,48,52,38,58
"49","Brandon Ingram","NOP",49,50,40,48,46,49
"50","Alperen Sengun","HOU",50,47,54,43,39,40
"51","Rudy Gobert","MIN",51,39,34,36,32,50
"52","Bradley Beal","PHX",52,69,70,63,73,63
"53","Khris Middleton","MIL",53,61,63,69,96,61
"54","Mikal Bridges","NYK",54,41,38,44,56,47
"55","OG Anunoby","NYK",55,46,51,50,57,52
"56","Jalen Green","HOU",56,92,69,77,65,101
"57","Fred VanVleet","HOU",57,57,79,60,66,45
"58","James Harden","LAC",58,44,41,39,47,25
"59","Jarrett Allen","CLE",59,59,73,55,60,53
"60","CJ McCollum","NOP",60,74,84,76,71,101
"61","Aaron Gordon","DEN",61,63,49,59,59,66
"62","Myles Turner","IND",62,64,81,75,53,64
