"player","nameTeam","team","slugTeam","tier","avgRank","ESPN","SI","CBS","WaPo"
"Kevin Durant","Brooklyn Nets","Nets","BKN","1A",1,1,1,1,1
"Giannis Antetokounmpo","Milwaukee Bucks","Bucks","MIL","1A",2.25,2,2,3,2
"LeBron James","Los Angeles Lakers","Lakers","LAL","1A",2.75,3,3,2,3
"Stephen Curry","Golden State Warriors","Warriors","GSW","1B",4.25,5,4,4,4
"Nikola Jokic","Denver Nuggets","Nuggets","DEN","1B",5.75,6,5,6,6
"Luka Doncic","Dallas Mavericks","Mavericks","DAL","2A",5.75,4,6,5,8
"James Harden","Brooklyn Nets","Nets","BKN","1B",7.75,10,7,7,7
"Joel Embiid","Philadelphia 76ers","76ers","PHI","2A",8.25,7,8,8,10
"Anthony Davis","Los Angeles Lakers","Lakers","LAL","2A",8.25,9,9,10,5
"Damian Lillard","Portland Trail Blazers","Trail Blazers","POR","2B",9.75,8,11,11,9
"Paul George","Los Angeles Clippers","Clippers","LAC","2B",12.25,12,12,13,12
"Jayson Tatum","Boston Celtics","Celtics","BOS","2C",13,14,13,12,13
"Jimmy Butler","Miami Heat","Heat","MIA","2B",14,16,14,15,11
"Bradley Beal","Washington Wizards","Wizards","WAS","3B",15.25,11,15,16,19
"Chris Paul","Phoenix Suns","Suns","PHX","2C",16,13,18,19,14
"Trae Young","Atlanta Hawks","Hawks","ATL","3A",18,17,17,18,20
"Devin Booker","Phoenix Suns","Suns","PHX","3A",18.5,15,16,21,22
"Donovan Mitchell","Utah Jazz","Jazz","UTA","3B",20.75,18,24,20,21
"Kyrie Irving","Brooklyn Nets","Nets","BKN","2C",21,20,19,17,28
"Zion Williamson","New Orleans Pelicans","Pelicans","NOP","3A",21,23,20,14,27
"Khris Middleton","Milwaukee Bucks","Bucks","MIL","2C",21,19,26,23,16
"Rudy Gobert","Utah Jazz","Jazz","UTA","2B",21.75,25,21,24,17
"Bam Adebayo","Miami Heat","Heat","MIA","2C",21.75,21,22,26,18
"Karl-Anthony Towns","Minnesota Timberwolves","Timberwolves","MIN","3B",23.25,24,23,22,24
"Jrue Holiday","Milwaukee Bucks","Bucks","MIL","3A",25,22,28,27,23
"Jaylen Brown","Boston Celtics","Celtics","BOS","3B",26,27,27,25,25
"Ja Morant","Memphis Grizzlies","Grizzlies","MEM","3B",28.5,31,25,32,26
"Zach LaVine","Chicago Bulls","Bulls","CHI","3B",30.5,33,29,28,32
"Brandon Ingram","New Orleans Pelicans","Pelicans","NOP","4A",33,26,33,40,33
"Draymond Green","Golden State Warriors","Warriors","GSW","3B",33,37,35,29,31
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Thunder","OKC","3B",33.5,36,30,31,37
"Ben Simmons","Philadelphia 76ers","76ers","PHI","3B",33.5,28,31,30,45
"De’Aaron Fox","Sacramento Kings","Kings","SAC","4A",33.5,34,32,33,35
"C.J. McCollum","Portland Trail Blazers","Trail Blazers","POR","4A",35.25,30,38,39,34
"Domantas Sabonis","Indiana Pacers","Pacers","IND","4A",35.5,40,36,36,30
"Russell Westbrook","Los Angeles Lakers","Lakers","LAL","3B",36,29,34,38,43
"Julius Randle","New York Knicks","Knicks","NYK","4A",39,42,41,44,29
"Kyle Lowry","Miami Heat","Heat","MIA","4A",39.75,43,40,34,42
"Nikola Vucevic","Chicago Bulls","Bulls","CHI","4A",40.25,39,39,47,36
"Deandre Ayton","Phoenix Suns","Suns","PHX","4B",40.5,35,36,51,40
"Pascal Siakam","Toronto Raptors","Raptors","TOR","3B",41,38,44,41,41
"Klay Thompson","Golden State Warriors","Warriors","GSW","4B",43,32,57,35,48
"Mike Conley","Utah Jazz","Jazz","UTA","3B",43.75,48,43,45,39
"Michael Porter Jr.","Denver Nuggets","Nuggets","DEN","4B",46.25,41,52,46,46
"DeMar DeRozan","Chicago Bulls","Bulls","CHI","4A",47.5,45,42,48,55
"Fred VanVleet","Toronto Raptors","Raptors","TOR","4A",48.5,56,46,42,50
"Tobias Harris","Philadelphia 76ers","76ers","PHI","4B",50,46,50,57,47
"LaMelo Ball","Charlotte Hornets","Hornets","CHA","4A",50.75,47,51,52,53
"Malcolm Brogdon","Indiana Pacers","Pacers","IND","4A",51.25,65,47,55,38
"Gordon Hayward","Charlotte Hornets","Hornets","CHA","4A",51.5,58,45,43,60
"John Collins","Atlanta Hawks","Hawks","ATL","4B",52.5,54,54,50,52
"Marcus Smart","Boston Celtics","Celtics","BOS","4B",53,49,60,49,54
"Clint Capela","Atlanta Hawks","Hawks","ATL","4A",54.25,55,48,65,49
"Jerami Grant","Detroit Pistons","Pistons","DET","4A",55,53,55,56,56
"Kristaps Porzingis","Dallas Mavericks","Mavericks","DAL","4B",57.5,50,58,71,51
"Mikal Bridges","Phoenix Suns","Suns","PHX","4B",58.75,66,53,59,57
"Christian Wood","Houston Rockets","Rockets","HOU","4B",60.75,60,66,54,63
"OG Anunoby","Toronto Raptors","Raptors","TOR","4B",60.75,72,59,53,59
"Myles Turner","Indiana Pacers","Pacers","IND","4A",62,44,70,58,76
"Anthony Edwards","Minnesota Timberwolves","Timberwolves","MIN","5A",64.25,52,77,62,66
"Lonzo Ball","Chicago Bulls","Bulls","CHI","5A",65,57,76,66,61
"Bogdan Bogdanovic","Atlanta Hawks","Hawks","ATL","4B",65,64,64,61,71
"Kemba Walker","New York Knicks","Knicks","NYK","4A",65.25,70,69,60,62
"D’Angelo Russell","Minnesota Timberwolves","Timberwolves","MIN","5A",66.5,63,61,84,58
"Joe Ingles","Utah Jazz","Jazz","UTA","4A",69.25,62,68,80,67
"Spencer Dinwiddie","Washington Wizards","Wizards","WAS","4B",70,68,75,68,69
"Aaron Gordon","Denver Nuggets","Nuggets","DEN","4B",70.25,69,63,69,80
"Collin Sexton","Cleveland Cavaliers","Cavaliers","CLE","5A",72.5,59,71,76,84
"Bojan Bogdanovic","Utah Jazz","Jazz","UTA","4B",73.5,67,74,72,81
"Joe Harris","Brooklyn Nets","Nets","BKN","4A",74.25,75,72,73,77
"Dejounte Murray","San Antonio Spurs","Spurs","SAS","5A",75.5,83,73,81,65
"Jaren Jackson Jr.","Memphis Grizzlies","Grizzlies","MEM","5A",76.25,71,87,64,83
"Caris LeVert","Indiana Pacers","Pacers","IND","4B",76.5,80,62,85,79
"Terry Rozier","Charlotte Hornets","Hornets","CHA","5A",76.5,81,78,79,68
"Andrew Wiggins","Golden State Warriors","Warriors","GSW","5A",78,77,88,83,64
"Jusuf Nurkic","Portland Trail Blazers","Trail Blazers","POR","4B",79.25,74,65,93,85
"Jarrett Allen","Cleveland Cavaliers","Cavaliers","CLE","5A",79.5,61,83,101,73
"Dillon Brooks","Memphis Grizzlies","Grizzlies","MEM","4B",80.75,78,84,67,94
"Tyrese Haliburton","Sacramento Kings","Kings","SAC","5A",81.5,73,97,63,93
"Buddy Hield","Sacramento Kings","Kings","SAC","5A",82,51,79,101,97
"Harrison Barnes","Sacramento Kings","Kings","SAC","5A",82.75,101,67,89,74
"Brook Lopez","Milwaukee Bucks","Bucks","MIL","4B",83,101,82,77,72
"Seth Curry","Philadelphia 76ers","76ers","PHI","4A",83.5,88,81,70,95
"De'Andre Hunter","Atlanta Hawks","Hawks","ATL","4B",84,101,56,101,78
"Duncan Robinson","Miami Heat","Heat","MIA","5A",85,92,85,75,88
"Jonas Valanciunas","New Orleans Pelicans","Pelicans","NOP","4B",86.75,94,86,92,75
"Robert Covington","Portland Trail Blazers","Trail Blazers","POR","4A",87,89,80,78,101
"Cade Cunningham","Detroit Pistons","Pistons","DET",NA,88,76,101,74,101
"Tim Hardaway Jr","Dallas Mavericks","Mavericks","DAL","5A",89.25,79,96,90,92
"Norman Powell","Portland Trail Blazers","Trail Blazers","POR","5A",90.25,100,92,82,87
"Jonathan Isaac","Orlando Magic","Magic","ORL","5A",92,101,95,86,86
"Evan Fournier","New York Knicks","Knicks","NYK","5A",92,101,91,94,82
"RJ Barrett","New York Knicks","Knicks","NYK",NA,93,101,101,100,70
"Derrick Rose","Detroit Pistons","Pistons","DET","4B",94.5,91,89,97,101
"Jordan Clarkson","Utah Jazz","Jazz","UTA","5A",95.5,90,101,101,90
"Jae Crowder","Phoenix Suns","Suns","PHX","4B",95.75,101,90,96,96
"Lauri Markkanen","Cleveland Cavaliers","Cavaliers","CLE",NA,96.25,82,101,101,101
"Darius Garland","Cleveland Cavaliers","Cavaliers","CLE",NA,96.75,84,101,101,101
