"after","before","count","afterDate","beforeDate","flair"
1606780800,1606867200,380,2020-12-01,2020-12-02,"76ers"
1606867200,1606953600,552,2020-12-02,2020-12-03,"76ers"
1606953600,1607040000,434,2020-12-03,2020-12-04,"76ers"
1607040000,1607126400,343,2020-12-04,2020-12-05,"76ers"
1607126400,1607212800,289,2020-12-05,2020-12-06,"76ers"
1607212800,1607299200,335,2020-12-06,2020-12-07,"76ers"
1607299200,1607385600,555,2020-12-07,2020-12-08,"76ers"
1607385600,1607472000,788,2020-12-08,2020-12-09,"76ers"
1607472000,1607558400,549,2020-12-09,2020-12-10,"76ers"
1607558400,1607644800,623,2020-12-10,2020-12-11,"76ers"
1607644800,1607731200,658,2020-12-11,2020-12-12,"76ers"
1607731200,1607817600,469,2020-12-12,2020-12-13,"76ers"
1607817600,1607904000,483,2020-12-13,2020-12-14,"76ers"
1607904000,1607990400,629,2020-12-14,2020-12-15,"76ers"
1607990400,1608076800,490,2020-12-15,2020-12-16,"76ers"
1608076800,1608163200,829,2020-12-16,2020-12-17,"76ers"
1608163200,1608249600,461,2020-12-17,2020-12-18,"76ers"
1608249600,1608336000,1072,2020-12-18,2020-12-19,"76ers"
1608336000,1608422400,596,2020-12-19,2020-12-20,"76ers"
1608422400,1608508800,592,2020-12-20,2020-12-21,"76ers"
1608508800,1608595200,588,2020-12-21,2020-12-22,"76ers"
1608595200,1608681600,642,2020-12-22,2020-12-23,"76ers"
1608681600,1608768000,1279,2020-12-23,2020-12-24,"76ers"
1608768000,1608854400,1373,2020-12-24,2020-12-25,"76ers"
1608854400,1608940800,949,2020-12-25,2020-12-26,"76ers"
1608940800,1609027200,842,2020-12-26,2020-12-27,"76ers"
1609027200,1609113600,1169,2020-12-27,2020-12-28,"76ers"
1609113600,1609200000,732,2020-12-28,2020-12-29,"76ers"
1609200000,1609286400,426,2020-12-29,2020-12-30,"76ers"
1609286400,1609372800,1166,2020-12-30,2020-12-31,"76ers"
1609372800,1609459200,605,2020-12-31,2021-01-01,"76ers"
1609459200,1609545600,1020,2021-01-01,2021-01-02,"76ers"
1609545600,1609632000,531,2021-01-02,2021-01-03,"76ers"
1609632000,1609718400,1198,2021-01-03,2021-01-04,"76ers"
1609718400,1609804800,694,2021-01-04,2021-01-05,"76ers"
1609804800,1609891200,1415,2021-01-05,2021-01-06,"76ers"
1609891200,1609977600,743,2021-01-06,2021-01-07,"76ers"
1609977600,1610064000,1761,2021-01-07,2021-01-08,"76ers"
1610064000,1610150400,1046,2021-01-08,2021-01-09,"76ers"
1610150400,1610236800,1476,2021-01-09,2021-01-10,"76ers"
1610236800,1610323200,678,2021-01-10,2021-01-11,"76ers"
1610323200,1610409600,804,2021-01-11,2021-01-12,"76ers"
1610409600,1610496000,892,2021-01-12,2021-01-13,"76ers"
1610496000,1610582400,3639,2021-01-13,2021-01-14,"76ers"
1610582400,1610668800,1098,2021-01-14,2021-01-15,"76ers"
1610668800,1610755200,1216,2021-01-15,2021-01-16,"76ers"
1610755200,1610841600,613,2021-01-16,2021-01-17,"76ers"
1610841600,1610928000,906,2021-01-17,2021-01-18,"76ers"
1610928000,1611014400,625,2021-01-18,2021-01-19,"76ers"
1611014400,1611100800,613,2021-01-19,2021-01-20,"76ers"
1611100800,1611187200,417,2021-01-20,2021-01-21,"76ers"
1611187200,1611273600,1719,2021-01-21,2021-01-22,"76ers"
1611273600,1611360000,810,2021-01-22,2021-01-23,"76ers"
1611360000,1611446400,2103,2021-01-23,2021-01-24,"76ers"
1611446400,1611532800,492,2021-01-24,2021-01-25,"76ers"
1611532800,1611619200,0,2021-01-25,2021-01-26,"76ers"
1611619200,1611705600,0,2021-01-26,2021-01-27,"76ers"
1611705600,1611792000,256,2021-01-27,2021-01-28,"76ers"
1611792000,1611878400,2736,2021-01-28,2021-01-29,"76ers"
1611878400,1611964800,566,2021-01-29,2021-01-30,"76ers"
