"headshot","officialId","name","games","possessions","All Fouls","Shooting","Shooting RA","Shooting 3PT","Personal","Offensive","Technical","Coach Technical","Flagrant","Ejection","Travel","Double Dribble","Palming","Discontinued Dribble","Kicked Ball","Goaltending","D3/O3 Violation","Delay of Game","Backcourt Violation","5/8/10 Sec. Violation","Jump/Lane Violation","Violations","All Fouls_rk","Shooting_rk","Shooting RA_rk","Shooting 3PT_rk","Personal_rk","Offensive_rk","Technical_rk","Coach Technical_rk","Flagrant_rk","Ejection_rk","Travel_rk","Double Dribble_rk","Palming_rk","Discontinued Dribble_rk","Kicked Ball_rk","Goaltending_rk","D3/O3 Violation_rk","Delay of Game_rk","Backcourt Violation_rk","5/8/10 Sec. Violation_rk","Jump/Lane Violation_rk","Violations_rk","base","timeframe","active"
"images/outlined_Aaron_Smith.png",1626302,"Aaron Smith",21,2140.5,296,123,69,8,120,21,3,1,0,1,9,0,2,0,7,3,1,5,1,0,0,28,10,10,10,18,12,14,14,31,0,55,10,0,81,0,19,12,19,43,14,0,0,13,"Totals","1-Year",1
"images/outlined_Agon_Abazi.png",1629171,"Agon Abazi",2,196,34,15,6,2,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Totals","1-Year",1
"images/outlined_Andy_Nagy.png",1627534,"Andy Nagy",66,6671,1042,538,276,17,349,56,13,0,4,0,16,2,1,0,21,16,2,16,6,2,0,82,97,100,100,68,91,70,52,0,82,0,43,75,49,0,94,91,29,95,84,52,0,81,"Totals","1-Year",1
"images/outlined_Ashley_Moyer-Gleich.png",1628953,"Ashley Moyer-Gleich",9,886.5,91,37,18,3,34,8,4,0,0,0,0,1,0,0,2,2,1,1,1,0,0,8,8,8,8,9,8,9,21,0,0,0,0,45,0,0,6,8,19,9,14,0,0,9,"Totals","1-Year",1
"images/outlined_Ben_Taylor.png",202049,"Ben Taylor",63,6255,996,381,200,20,403,88,31,1,3,1,25,1,2,1,23,18,6,11,2,0,0,89,94,69,74,81,99,99,96,31,71,55,71,45,81,62,96,96,60,83,26,0,0,86,"Totals","1-Year",1
"images/outlined_Bill_Kennedy.png",1662,"Bill Kennedy",42,4201.5,519,244,112,7,187,26,4,0,2,2,12,0,1,0,19,9,7,4,1,1,0,54,26,23,21,14,31,21,21,0,49,75,21,0,49,0,83,56,65,38,14,35,0,39,"Totals","1-Year",1
"images/outlined_Biniam_Maru.png",1629177,"Biniam Maru",2,215,19,8,5,1,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,1,1,0,9,0,0,0,0,0,0,62,0,0,0,9,0,0,0,1,"Totals","1-Year",1
"images/outlined_Brandon_Adair.png",1627961,"Brandon Adair",42,4160,481,236,113,10,181,25,2,0,2,0,13,0,0,0,10,8,1,1,0,2,0,35,21,19,22,29,27,19,10,0,49,0,27,0,0,0,34,44,19,9,0,52,0,17,"Totals","1-Year",1
"images/outlined_Brandon_Schwab.png",1628171,"Brandon Schwab",47,4664,562,312,177,11,163,32,6,1,1,0,13,2,0,1,12,9,6,0,3,2,0,48,32,42,60,39,16,31,26,31,30,0,27,75,0,62,47,56,60,0,43,52,0,34,"Totals","1-Year",1
"images/outlined_Brent_Barnaky.png",201638,"Brent Barnaky",63,6254.5,814,418,200,27,265,45,16,3,3,2,15,0,1,0,10,11,12,13,1,2,0,65,69,82,74,96,57,49,68,69,71,75,42,0,49,0,34,69,88,91,14,52,0,61,"Totals","1-Year",1
