"salary","nba_id"
29651786,1629673
23522727,1628398
22500000,1627763
12648321,1626158
12500000,1628963
11245680,1642259
9900000,202685
6945240,1641731
6440678,1630180
5705887,1630557
5291160,1631098
4454880,1642267
2825520,1642273
2448840,1631116
2237691,1630264
600000,1631157
42176400,1628374
26580000,1628381
18350000,1629012
14092577,203903
5848680,1641707
5631296,201566
5469120,1642262
5000000,1629234
4084200,1641718
3500000,1629004
3087519,1630548
3000000,1642271
2965920,1631117
2571480,1641729
2512680,1642268
2087519,201988
32500000,1630193
25794643,1629628
23000000,1628971
19500000,1627751
12804878,203482
10810000,1628449
10130980,1630567
6451077,1630558
4763760,1641711
4310280,1630534
3465000,1642266
2087519,202066
1862265,1642367
1862265,1642347
100000,1631241
29347826,1630170
19000000,1629640
18000000,203084
16741200,1628380
12768960,1641705
10460000,101108
9105120,1642264
9104167,1630200
5570040,1631110
4741800,1629667
3217920,1631103
3000000,1630577
2624280,1631104
2087519,1630572
2087519,1629646
1891857,1631321
40500000,1627734
34848340,1628368
23400000,201942
17405203,1628370
16830357,1628989
8809560,1631099
8000000,1626168
4689000,1642269
2120693,1641732
2120693,1631165
2087519,203458
2087519,1629162
2087519,203926
2087519,1631115
34005126,1629028
29793104,203924
25892857,1629014
15625000,1630166
12428571,1629057
11025000,1629680
10259160,1630703
6836400,1642270
6614160,1631101
2990040,1631200
2196970,1630625
2048780,1641871
2019699,1631133
1891857,1641712
1891857,1641739
1300000,202339
268032,1629712
51179021,201142
50203930,203078
49205800,1626164
18125000,203994
15625000,1628960
9375000,1626220
8250000,1629006
3107143,1629642
2530800,1642346
2087519,1626145
2087519,1628420
2087519,203486
2087519,1627814
1157153,1642345
706898,1630604
51415938,203954
49205800,202331
35147000,1630178
8149001,1628997
7983000,1626162
7975000,1630231
5000000,203083
4033748,202704
4020360,1642272
3303771,201569
2087519,1627824
2087519,200768
1891857,1641741
1157153,1641737
25000000,1628371
22757000,203484
12900000,1630175
12160800,1631094
11950000,1628976
11000000,1629021
9188385,1630591
9057971,1629048
7607760,1641710
7500000,203914
7007092,1630532
5278320,1641724
3628440,1641783
3303771,202709
2019699,1631216
35859950,1628983
30000000,1628392
16500000,1629652
12991650,1630198
10880640,1631096
10514017,1630598
9890000,1627936
6669000,1629026
5555880,1641717
5027040,1631172
4935960,1642260
4775760,1631114
3237691,1629645
2622360,1641794
2019699,1631119
1097300,1642502
49205800,1626157
36637932,1628384
24960001,1628973
23300000,1628969
18144000,1628404
14318182,1629011
6000000,1630173
4710144,1630540
2092344,1630579
2087519,1642278
2087519,1626166
1808080,1642359
621439,1630346
36725670,1629627
36016200,1627742
33333333,203468
29517135,1627749
12976362,1630529
5159854,1630530
4525680,1641722
3193200,1642274
2196970,1630526
2087519,1629750
2087519,1628464
1988598,1630631
1407153,1631255
1157153,1641810
278782,1629669
43827586,203497
42176400,1630162
33073920,203944
23017242,1630183
13986432,1629675
11445000,1628978
9975962,201144
6262920,1642265
4312500,1629638
2654644,1628966
2546640,1630545
2162606,1630568
2087519,204060
2087519,1628408
2019699,1631169
1891857,1631159
48787676,203507
48787676,203081
31666667,203114
23000000,201572
12578286,1626171
9423869,1626192
2795294,1642358
2733720,1630699
2120693,1631260
2087519,1629018
2087519,1627752
2087519,1626153
1891857,1641753
1891857,1641748
1157153,1641890
48798677,202710
34848340,1628389
29000000,1629639
24924126,1626179
19406000,1629130
5200000,1629312
4231800,1642276
3850000,201567
3685800,1631170
3051153,1626196
2464200,1631107
