"Player","X.","Pos","Height","Weight","Birthdate","Age","Exp","School","How.Acquired","tm"
"Jacob Toppin",0,"F","6-8","200 lbs","MAY 08, 2000",25,"2","Kentucky","Signed on 03/04/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Kobe Bufkin",4,"G","6-5","200 lbs","SEP 21, 2003",21,"2","Michigan","#15 Pick in 2023 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Kobe Johnson",12,"G","6-6","200 lbs","JAN 15, 2003",22,"R","UCLA","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Javan Johnson",13,"F","6-6","192 lbs","JAN 05, 1999",26,"R","DePaul","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Asa Newell",14,"F","6-11","224 lbs","OCT 05, 2005",19,"R","Georgia","Draft Rights Traded from NOP on 06/25/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Devion Smith",16,"G","6-0","175 lbs","MAR 08, 2002",23,"R","St. John's","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Dwight Murray Jr.",19,"G","6-0","180 lbs","JAN 31, 2000",25,"R","Rider","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Eli John Ndiaye",20,"C","6-10","209 lbs","JUN 26, 2004",21,"R","Real Madrid","Signed on 07/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Josh Christopher",20,"G","6-4","215 lbs","DEC 08, 2001",23,"3","Arizona State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Nikola Ðurišic",22,"F-G","6-8","209 lbs","FEB 23, 2004",21,"R","Mega","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Adam Flagler",29,"G","6-3","185 lbs","DEC 01, 1999",25,"2","Baylor","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Lamont Butler",31,"G","6-2","200 lbs","JUN 09, 2002",23,"R","Kentucky","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Jack McVeigh",32,"F","6-7","205 lbs","JUN 27, 1996",29,"1","Nebraska-Lincoln","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Nell Joseph",35,"F","6-10","245 lbs","NOV 20, 2001",23,"R","New Mexico","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Jack White",41,"F","6-6","225 lbs","AUG 05, 1997",27,"2","Duke","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Jake Stephens",45,"C","6-11","270 lbs","NOV 05, 1999",25,"R","Chattanooga","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612737/hawks"
"Jordan Walsh",27,"F","6-7","208 lbs","MAR 03, 2004",21,"2","Arkansas","Draft Rights Traded from SAC on 06/28/23","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Hugo González",28,"F","6-6","205 lbs","FEB 05, 2006",19,"R","Real Madrid","#28 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Max Shulga",29,"G","6-5","210 lbs","JUN 25, 2002",23,"R","Virginia Commonwealth","Draft Rights Traded from ORL on 06/26/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Hayden Gray",37,"G","6-4","190 lbs","MAY 11, 2003",22,"R","UC-San Diego","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Kendall Brown",38,"G","6-7","205 lbs","MAY 11, 2003",22,"2","Baylor","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Jalen Bridges",41,"F","6-8","225 lbs","MAY 14, 2001",24,"1","Baylor","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Miles Norris",44,"F","6-7","200 lbs","APR 15, 2000",25,"1","California-Santa Barbara","Signed on 03/04/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Aaron Scott",45,"F","6-7","200 lbs","JUL 11, 2003",22,"R","St. John's","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Kenneth Lofton Jr.",50,"F-C","6-6","275 lbs","AUG 14, 2002",22,"2","Louisiana Tech","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Zach Hicks",51,"F","6-8","200 lbs","APR 22, 2003",22,"R","Penn State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Ben Gregg",52,"F","6-10","230 lbs","OCT 14, 2002",22,"R","Gonzaga","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Baylor Scheierman",55,"G-F","6-6","213 lbs","SEP 26, 2000",24,"1","Creighton","#30 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
"Amari Williams",77,"C","7-0","250 lbs","JAN 28, 2002",23,"R","Kentucky","Draft Rights Traded from ORL on 06/26/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612738/celtics"
