"coach_name","season","team_abbreviation","wins","losses","w_pct_rank","net_rating","net_rating_rank","off_rating","off_rating_rank","def_rating","def_rating_rank","pace_rank","pace","efg_pct_rank","efg_pct","fta_rate_rank","fta_rate","tm_tov_pct_rank","tm_tov_pct","oreb_pct_rank","oreb_pct","pct_fga_3pt_rank","pct_fga_3pt","opp_efg_pct_rank","opp_efg_pct","opp_fta_rate_rank","opp_fta_rate","opp_tov_pct_rank","opp_tov_pct","opp_oreb_pct_rank","opp_oreb_pct","opp_pct_fga_3pt_rank","opp_pct_fga_3pt"
"Q. Snyder (4-5)","2024-25","ATL","4","5",16,-5.4,22,112.2,17,117.6,26,3,103.22,13,0.538,7,0.299,19,0.151,14,0.296,16,0.415,27,0.562,16,0.261,11,0.153,19,0.308,30,0.476132190942472
"J. Mazzulla (7-2)","2024-25","BOS","7","2",5,11.9,4,121.3,2,109.3,7,18,99.84,7,0.56,17,0.256,1,0.117,17,0.29,1,0.557,10,0.532,6,0.213,13,0.152,9,0.285,11,0.406674907292954
"J. Fernández Torres (4-4)","2024-25","BKN","4","4",12,0.2,14,114.4,11,114.2,17,22,98.16,10,0.554,13,0.265,16,0.147,23,0.266,6,0.465,20,0.547,29,0.38,5,0.158,22,0.314,5,0.389312977099237
"C. Lee (3-5)","2024-25","CHA","3","5",20,-5.7,24,111.7,19,117.5,24,19,99.38,20,0.53,28,0.213,24,0.159,5,0.335,2,0.486,21,0.548,24,0.305,24,0.127,18,0.307,23,0.437321937321937
"B. Donovan (3-6)","2024-25","CHI","3","6",21,-7.5,26,107.8,28,115.3,21,1,105.22,14,0.537,22,0.244,17,0.15,28,0.244,5,0.466,19,0.547,3,0.208,30,0.117,4,0.254,13,0.409722222222222
"K. Atkinson (9-0)","2024-25","CLE","9","0",1,12.1,3,122.1,1,110.1,9,12,100.67,1,0.612,26,0.22,5,0.123,26,0.255,17,0.409,7,0.529,18,0.269,3,0.16,8,0.284,3,0.378033205619413
"J. Kidd (5-3)","2024-25","DAL","5","3",6,5.2,7,112.4,15,107.2,3,10,100.94,15,0.533,25,0.224,2,0.119,25,0.263,18,0.407,3,0.506,23,0.29,12,0.152,17,0.306,17,0.422096317280453
"M. Malone (5-3)","2024-25","DEN","5","3",6,1.5,13,114.4,10,112.9,16,8,101.3,22,0.523,3,0.325,12,0.138,4,0.344,29,0.345,13,0.535,9,0.228,16,0.147,14,0.301,19,0.424766977363515
"J. Bickerstaff (3-6)","2024-25","DET","3","6",21,-2.8,17,109.2,24,112.1,12,27,97.44,18,0.532,27,0.22,28,0.172,10,0.313,19,0.406,12,0.535,19,0.273,29,0.123,2,0.24,18,0.423927178153446
"S. Kerr (7-1)","2024-25","GSW","7","1",2,15.5,1,119.3,3,103.8,2,15,100.13,6,0.562,15,0.261,10,0.133,8,0.324,8,0.445,2,0.478,15,0.259,4,0.16,23,0.317,16,0.421340629274966
"I. Udoka (5-3)","2024-25","HOU","5","3",6,7.5,5,115.5,8,108,4,28,97.42,27,0.502,23,0.242,3,0.119,2,0.365,20,0.396,5,0.516,27,0.32,6,0.157,16,0.304,1,0.363905325443787
"R. Carlisle (4-4)","2024-25","IND","4","4",12,-3.2,19,114.2,12,117.4,23,13,100.51,3,0.571,11,0.274,14,0.142,22,0.268,26,0.365,14,0.535,25,0.309,22,0.132,25,0.32,9,0.397820163487738
"T. Lue (4-4)","2024-25","LAC","4","4",12,1.9,12,110.8,22,108.8,5,26,97.48,12,0.541,20,0.254,29,0.174,11,0.307,23,0.385,16,0.541,17,0.264,7,0.157,5,0.258,22,0.437313432835821
"J. Redick (4-4)","2024-25","LAL","4","4",12,-4.1,21,114.7,9,118.8,28,9,101,19,0.531,2,0.326,8,0.131,18,0.283,25,0.366,28,0.567,5,0.211,20,0.137,15,0.302,14,0.410884353741497
"T. Jenkins (5-4)","2024-25","MEM","5","4",11,3,11,115.7,7,112.8,14,5,102.22,9,0.555,12,0.273,26,0.161,3,0.348,27,0.364,11,0.534,21,0.282,17,0.144,12,0.297,29,0.471674876847291
"E. Spoelstra (3-4)","2024-25","MIA","3","4",18,0.1,15,112.2,16,112.1,13,29,97.07,24,0.515,10,0.284,4,0.12,16,0.292,13,0.425,8,0.53,7,0.216,10,0.153,20,0.309,26,0.441033925686591
"D. Rivers (2-6)","2024-25","MIL","2","6",27,-2.7,16,112.1,18,114.9,19,10,100.94,8,0.557,9,0.288,13,0.14,30,0.223,12,0.427,25,0.554,11,0.237,27,0.126,3,0.242,25,0.44039270687237
"C. Finch (5-3)","2024-25","MIN","5","3",6,4.1,8,117,6,112.8,15,23,98.13,2,0.584,14,0.265,23,0.158,24,0.265,3,0.481,9,0.531,10,0.236,23,0.128,13,0.301,7,0.392405063291139
"W. Green (3-6)","2024-25","NOP","3","6",21,-8.7,29,111.2,20,119.9,30,21,98.28,23,0.517,19,0.254,20,0.151,7,0.328,28,0.36,29,0.577,2,0.204,14,0.152,30,0.337,10,0.404938271604938
"T. Thibodeau (3-4)","2024-25","NYK","3","4",18,3.4,10,118.5,4,115.2,20,30,95.86,4,0.568,29,0.213,7,0.13,19,0.277,21,0.392,26,0.56,1,0.202,26,0.126,10,0.291,27,0.445901639344262
"M. Daigneault (7-1)","2024-25","OKC","7","1",2,14.6,2,111,21,96.5,1,4,103,16,0.532,30,0.199,6,0.124,27,0.245,14,0.421,1,0.466,20,0.279,1,0.197,21,0.31,21,0.429184549356223
"J. Mosley (3-6)","2024-25","ORL","3","6",21,-3.3,20,105.8,29,109.1,6,14,100.28,28,0.499,5,0.306,21,0.152,20,0.273,7,0.448,17,0.546,22,0.283,15,0.15,1,0.238,6,0.39021164021164
"N. Nurse (1-6)","2024-25","PHI","1","6",29,-8.5,28,108.1,27,116.5,22,24,97.76,26,0.503,1,0.327,18,0.15,13,0.298,15,0.42,30,0.584,28,0.356,2,0.184,26,0.32,4,0.384615384615385
"M. Budenholzer (7-1)","2024-25","PHX","7","1",2,3.4,9,112.9,14,109.5,8,16,100.01,5,0.565,6,0.302,15,0.144,29,0.23,4,0.473,4,0.507,12,0.237,28,0.125,6,0.268,8,0.396200814111262
"C. Billups (3-6)","2024-25","POR","3","6",21,-5.7,23,109.1,25,114.8,18,20,98.83,29,0.498,16,0.26,22,0.153,6,0.329,24,0.369,18,0.546,14,0.256,9,0.155,29,0.33,28,0.448232323232323
"M. Brown (5-3)","2024-25","SAC","5","3",6,6,6,117.4,5,111.5,11,16,100.01,11,0.547,8,0.294,9,0.132,15,0.292,22,0.387,15,0.539,13,0.252,8,0.155,7,0.282,24,0.438028169014085
"G. Popovich (4-5)","2024-25","SAS","4","5",16,-2.9,18,108.3,26,111.2,10,25,97.5,21,0.529,24,0.235,27,0.169,12,0.306,11,0.427,6,0.526,4,0.21,18,0.141,11,0.291,12,0.407960199004975
"D. Rajakovic (2-7)","2024-25","TOR","2","7",28,-6.5,25,113.3,13,119.9,29,6,101.7,17,0.532,18,0.256,25,0.161,1,0.371,30,0.344,24,0.551,30,0.38,19,0.138,27,0.32,2,0.375156838143036
"W. Hardy (1-7)","2024-25","UTA","1","7",30,-15.5,30,102.6,30,118.1,27,7,101.63,30,0.485,4,0.31,30,0.192,9,0.313,9,0.442,23,0.551,8,0.225,25,0.127,24,0.319,15,0.413793103448276
"B. Keefe (2-4)","2024-25","WAS","2","4",21,-8.2,27,109.3,23,117.5,25,2,104.42,25,0.51,21,0.25,11,0.138,21,0.269,10,0.429,22,0.551,26,0.318,21,0.135,28,0.326,20,0.428571428571429
